config_num,alpha,beta,gamma,delta,threshold_low,threshold_med,threshold_high,error,avg_spend_low,avg_spend_med,avg_spend_high,corner_share,food_insecurity_share,grocery_share,avg_dist_car,avg_dist_nocar,total_trips
1889,3.0,0.5,2.6,0.4,7.0,7.0,14.0,0.20958742100595013,2795.7590625043504,4242.239995152742,12175.169281438615,0.2543156704543555,0.365,0.6310311358456597,2.7596799226467734,0.5796389188269446,1406.0
1890,3.0,0.5,2.6,0.4,7.0,8.0,14.0,0.2116103436255782,2762.172653957213,4133.004437446225,11915.038396283391,0.25817881345362326,0.36,0.622954517108053,2.724118755004476,0.5784128433479157,1388.0
1891,3.0,0.7,0.6,0.4,3.0,6.0,14.0,0.11316540015952323,4280.477064561506,4164.832185786601,11369.786643694326,0.4359140397933757,0.38,0.47124435738732756,2.4197236064421386,0.5920115284614178,1945.0
1892,3.0,0.7,0.6,0.4,3.0,7.0,14.0,0.11890531149339242,4310.547621715643,4146.2186647119,11611.753572510956,0.43411318094308415,0.385,0.47460234821985414,2.438965865570999,0.5868681293633342,1920.5
1893,3.0,0.7,0.6,0.4,3.0,8.0,14.0,0.12721218615623053,4332.152460256481,4005.738619994034,11431.876208794532,0.432992149093844,0.385,0.47134949168847473,2.430896337367884,0.5788256838818606,1918.5
1894,3.0,0.7,0.6,0.4,4.0,6.0,14.0,0.09441004797014887,3564.4263238266103,4099.476143824608,11492.467070751898,0.3990129238041986,0.385,0.5054957584280768,2.4918036174712492,0.5818700963089045,1683.5
1895,3.0,0.7,0.6,0.4,4.0,7.0,14.0,0.09649469971674399,3540.158804435706,4073.585484976601,11643.244300637049,0.40058769782018,0.385,0.5147585379694873,2.4902684801194734,0.5783686296135571,1662.0
1896,3.0,0.7,0.6,0.4,4.0,8.0,14.0,0.09907356468292808,3545.1865200356297,4037.498396353114,11488.47557360333,0.3989296991024909,0.385,0.5077929191800319,2.497112681190364,0.5843772073148884,1649.0
1897,3.0,0.7,0.6,0.4,5.0,6.0,14.0,0.13677876012446105,3116.546420487366,4150.0366391515145,11550.014951310002,0.37403265588317003,0.385,0.5320902691915347,2.554707468043464,0.5824899947102704,1536.0
1898,3.0,0.7,0.6,0.4,5.0,7.0,14.0,0.13886616106042515,3114.575315108371,4044.349128195519,11517.830483134023,0.3802501645819618,0.385,0.5342703533026114,2.539246127704862,0.5824899947102704,1510.0
1899,3.0,0.7,0.6,0.4,5.0,8.0,14.0,0.13547867197624508,3149.6273197202754,4061.881651460424,11459.798192494676,0.3803936576260907,0.385,0.5358550219237516,2.5332038877448433,0.5789515752085854,1510.0
1900,3.0,0.7,0.6,0.4,6.0,6.0,14.0,0.1481352413020221,2929.077923039592,4210.286067129267,11669.205384231413,0.36441389662218426,0.38,0.5435040161963716,2.5547550196556315,0.5833524284053411,1459.5
1901,3.0,0.7,0.6,0.4,6.0,7.0,14.0,0.1627482718797626,2852.913044258627,4077.842947915912,11380.236786703997,0.36039969588356685,0.38,0.5479635060280221,2.5681561272245257,0.5794084262245834,1440.0
1902,3.0,0.7,0.6,0.4,6.0,8.0,14.0,0.16409398555528704,2860.3667261908085,4115.36846243397,11483.524219267036,0.36028459639704563,0.385,0.5461593601085242,2.5748144212149446,0.5798362231784198,1441.5
1903,3.0,0.7,0.6,0.4,7.0,6.0,14.0,0.16635014444345025,2736.130566335658,4161.970375175535,11416.58898861756,0.36001708184068937,0.38,0.5581283973498942,2.5886224751317695,0.5754275479475357,1423.5
1904,3.0,0.7,0.6,0.4,7.0,7.0,14.0,0.17387542934231368,2811.3982357440104,4129.093150480059,11683.805856118324,0.3481660479988239,0.385,0.5615630653256072,2.602178100553676,0.5782498312871631,1400.5
1905,3.0,0.7,0.6,0.4,7.0,8.0,14.0,0.16867691614009409,2797.581727643491,4072.586784693084,11409.709793360387,0.3571810801008592,0.38,0.5519021989318936,2.5746948358430446,0.5771266771383432,1403.0
1906,3.0,0.7,1.0,0.4,3.0,6.0,14.0,0.11746419077320838,4309.565653050967,4168.02362580014,11554.922405990372,0.4337635606239192,0.385,0.47928904913862247,2.427531622962597,0.5887394175834877,1947.5
