config_num,alpha,beta,gamma,delta,threshold_low,threshold_med,threshold_high,error,avg_spend_low,avg_spend_med,avg_spend_high,corner_share,food_insecurity_share,grocery_share,avg_dist_car,avg_dist_nocar,total_trips
37,1.0,1.3,1.4,0.4,5.0,6.0,14.0,0.19848180500931542,3260.486571762849,4304.757758403708,12519.687921801065,0.19560878243512975,0.35,0.7445109780439122,2.8617989238070414,0.5141376198185091,501.0
38,1.0,1.3,1.4,0.4,5.0,8.0,14.0,0.19598613264483378,3244.6925922900273,4399.327111837899,11715.711674314816,0.19308943089430894,0.35,0.7398373983739838,2.8865499555891776,0.5101701798036645,492.0
39,1.0,1.3,1.4,0.4,7.0,6.0,14.0,0.2083998978897599,2998.033521452109,4458.503086923211,12504.593665266828,0.1948608137044968,0.35,0.7516059957173448,2.8859573011028288,0.5023555252289706,467.0
40,1.0,1.3,1.4,0.4,7.0,8.0,14.0,0.20543830708341002,3108.2870514356187,4432.8013147605,12282.692720727327,0.1896551724137931,0.35,0.7521551724137931,2.871336571729417,0.5048802597838719,464.0
41,1.0,1.3,2.2,0.4,5.0,6.0,14.0,0.1934343671501329,3248.5979553885686,4546.52286302143,13139.76248760719,0.1709741550695825,0.34,0.7514910536779325,2.9141248374422033,0.514137619818509,503.0
42,1.0,1.3,2.2,0.4,5.0,8.0,14.0,0.21282373924492254,3199.646391118885,4160.542439273735,13505.239012758646,0.17864476386036962,0.34,0.731006160164271,2.899394282531205,0.5235625141098003,487.0
43,1.0,1.3,2.2,0.4,7.0,6.0,14.0,0.20631007406913443,3007.2428093660174,4439.6542050965745,13100.337403095611,0.18629550321199143,0.34,0.7301927194860813,2.9006317241684316,0.5048802597838719,467.0
44,1.0,1.3,2.2,0.4,7.0,8.0,14.0,0.21238542743690492,3051.9250084621362,4238.2689686039075,13752.34909750377,0.1891304347826087,0.34,0.7347826086956522,2.888453570461202,0.5087374931316374,460.0
45,1.0,1.3,2.6,0.4,5.0,6.0,14.0,0.18492869160197284,3249.794383872884,4504.934681694895,12783.23257843807,0.18886679920477137,0.34,0.7435387673956262,2.925332263837222,0.5067317317907992,503.0
46,1.0,1.3,2.6,0.4,5.0,8.0,14.0,0.20557253647810403,3200.4794586137273,4261.766276008686,13044.321275709854,0.1816326530612245,0.34,0.7408163265306122,2.8672898465991556,0.5101701798036645,490.0
47,1.0,1.3,2.6,0.4,7.0,6.0,14.0,0.20545993155652392,2947.448775337821,4412.163486506294,12663.927342967027,0.19696969696969696,0.34,0.7402597402597403,2.890949267477261,0.5048802597838719,462.0
48,1.0,1.3,2.6,0.4,7.0,8.0,14.0,0.21551617890022748,2995.026174487103,4412.2995619832045,12976.01434226824,0.17467248908296942,0.34,0.7379912663755459,2.875976075340837,0.5087374931316374,458.0
49,2.0,0.5,0.6,0.4,5.0,6.0,14.0,0.09970707169708524,3288.257827404074,4458.070110450599,11326.424954829225,0.34462151394422313,0.35,0.5856573705179283,2.510707037152447,0.514137619818509,502.0
50,2.0,0.5,0.6,0.4,5.0,8.0,14.0,0.11871146414008678,3214.374374397697,4261.794837039164,11958.470958042115,0.3387096774193548,0.35,0.5967741935483871,2.5300174025930358,0.5189218673598633,496.0
51,2.0,0.5,0.6,0.4,7.0,6.0,14.0,0.1449829009946157,3108.3725034417484,4473.7830524641195,12595.4154012395,0.28752642706131076,0.35,0.6511627906976745,2.6287159635325557,0.5087374931316374,473.0
52,2.0,0.5,0.6,0.4,7.0,8.0,14.0,0.1522771500724347,2991.9415767450096,4282.306242120271,12385.68860988347,0.3056768558951965,0.35,0.6506550218340611,2.60014602756706,0.5087374931316374,458.0
53,2.0,0.5,1.4,0.4,5.0,6.0,14.0,0.1456932493772041,3334.943416085811,4527.214845964562,12362.75669738457,0.255859375,0.35,0.6796875,2.6586396139928166,0.5141376198185091,512.0
54,2.0,0.5,1.4,0.4,5.0,8.0,14.0,0.15276270712822046,3239.5826243142606,4451.768358070234,12235.078142858203,0.26156941649899396,0.35,0.6599597585513078,2.6313894743274644,0.514137619818509,497.0
55,2.0,0.5,1.4,0.4,7.0,6.0,14.0,0.18370433537242775,2972.678444807899,4314.637693692069,12557.451640538991,0.2521551724137931,0.35,0.6702586206896551,2.688147901882964,0.5187662998358278,464.0
56,2.0,0.5,1.4,0.4,7.0,8.0,14.0,0.18603271301272797,2931.122478854667,4263.201160559799,11887.993753239736,0.25757575757575757,0.35,0.6666666666666666,2.6792738560698894,0.5143051540751629,462.0
57,2.0,0.5,2.2,0.4,5.0,6.0,14.0,0.18620605876809743,3285.534858451808,4334.4228833462275,12720.275150173391,0.198,0.34,0.722,2.8177981359740056,0.514137619818509,500.0
58,2.0,0.5,2.2,0.4,5.0,8.0,14.0,0.20179906894717514,3160.748714400198,4273.196102581215,13558.320211649016,0.19144602851323828,0.34,0.714867617107943,2.77999941829852,0.5189218673598633,491.0
59,2.0,0.5,2.2,0.4,7.0,6.0,14.0,0.19459708354640717,3106.1475958097026,4309.682333074905,12788.117607169474,0.2064516129032258,0.34,0.7247311827956989,2.8067155870741964,0.5087374931316373,465.0
60,2.0,0.5,2.2,0.4,7.0,8.0,14.0,0.2075530700762468,3015.3097685885127,4278.531524077601,12179.413190744208,0.19777777777777777,0.34,0.7244444444444444,2.818374841640905,0.513296041633542,450.0
61,2.0,0.5,2.6,0.4,5.0,6.0,14.0,0.179507585244054,3249.942370501488,4477.8433534807,12786.92211740842,0.20039292730844793,0.34,0.7190569744597249,2.835406266228784,0.5101701798036645,509.0
62,2.0,0.5,2.6,0.4,5.0,8.0,14.0,0.1869074971562965,3258.40035695668,4355.737235421069,12846.05549762246,0.19797979797979798,0.34,0.7171717171717171,2.8541784332708184,0.5101701798036645,495.0
63,2.0,0.5,2.6,0.4,7.0,6.0,14.0,0.2000677306166153,2944.0302337789058,4511.873790490115,13151.13500445273,0.19745222929936307,0.34,0.7261146496815286,2.85384122982384,0.5048802597838717,471.0
64,2.0,0.5,2.6,0.4,7.0,8.0,14.0,0.21427553297773855,3040.6319553719486,4270.002663209131,13391.928181250167,0.1843817787418655,0.34,0.7049891540130152,2.804485178497028,0.5075479817576093,461.0
65,2.0,0.9,0.6,0.4,5.0,6.0,14.0,0.11816893808012252,3292.2642946297383,4292.899882567524,12634.987567475702,0.328,0.35,0.612,2.5590051208802507,0.514137619818509,500.0
66,2.0,0.9,0.6,0.4,5.0,8.0,14.0,0.1185524753521268,3184.8318915948307,4346.762040478525,11952.218054809126,0.33468559837728196,0.35,0.6105476673427992,2.5650350954873655,0.5101701798036645,493.0
67,2.0,0.9,0.6,0.4,7.0,6.0,14.0,0.15085270923564983,2938.1284521533894,4303.115110660609,12804.900031813728,0.2995689655172414,0.34,0.646551724137931,2.6045295991035333,0.5087374931316374,464.0
68,2.0,0.9,0.6,0.4,7.0,8.0,14.0,0.1507900756675577,3046.99090134948,4301.462729496928,12113.307043609082,0.3002159827213823,0.35,0.6241900647948164,2.600863855580417,0.498708686427447,463.0
69,2.0,0.9,1.4,0.4,5.0,6.0,14.0,0.15605159061332052,3330.5826927909934,4477.053844974821,11291.726523380688,0.24346076458752516,0.35,0.6720321931589537,2.6952499139575012,0.5141376198185091,497.0
70,2.0,0.9,1.4,0.4,5.0,8.0,14.0,0.16284672593403313,3191.884069155193,4329.276244776603,11662.390829612095,0.26104417670682734,0.35,0.6666666666666666,2.6360824448638045,0.5189218673598633,498.0
71,2.0,0.9,1.4,0.4,7.0,6.0,14.0,0.18135495196484958,3027.603672651749,4367.118312327097,11678.820973220329,0.24516129032258063,0.35,0.6881720430107527,2.6952712628048676,0.513296041633542,465.0
72,2.0,0.9,1.4,0.4,7.0,8.0,14.0,0.17626223096515503,3057.2585702212596,4334.975322302407,11778.954264150507,0.2532467532467532,0.35,0.6688311688311688,2.689279697116183,0.5048802597838717,462.0
73,2.0,0.9,2.2,0.4,5.0,6.0,14.0,0.19309499596051155,3215.125261078509,4460.181359577421,13087.893416670116,0.18309859154929578,0.34,0.7364185110663984,2.8571564227572317,0.5187662998358277,497.0
74,2.0,0.9,2.2,0.4,5.0,8.0,14.0,0.17847804898091718,3311.023152768406,4420.102098476953,13319.817573285509,0.20039292730844793,0.34,0.7151277013752456,2.802342831387071,0.5067317317907992,509.0
75,2.0,0.9,2.2,0.4,7.0,6.0,14.0,0.2033180383795481,2976.935649343336,4323.658609403609,12956.982192715564,0.20518358531317496,0.34,0.7192224622030238,2.799716223926116,0.5087374931316373,463.0
76,2.0,0.9,2.2,0.4,7.0,8.0,14.0,0.20436125412932096,3091.6506297237756,4474.69743160604,13389.322703057844,0.17685589519650655,0.34,0.7292576419213974,2.833289398055096,0.513296041633542,458.0
77,2.0,0.9,2.6,0.4,5.0,6.0,14.0,0.18706514459352314,3233.005351049973,4424.123510537657,12943.434483821384,0.19444444444444445,0.34,0.7281746031746031,2.8393741948782587,0.5067317317907992,504.0
78,2.0,0.9,2.6,0.4,5.0,8.0,14.0,0.1888398745422017,3270.7721654560764,4299.393970262082,13927.683256044087,0.19839679358717435,0.34,0.7094188376753507,2.8188404697441016,0.5141376198185091,499.0
79,2.0,0.9,2.6,0.4,7.0,6.0,14.0,0.21230628540830968,2947.6674800055143,4342.327215236959,13007.126096385146,0.19172113289760348,0.34,0.7298474945533769,2.863538469453159,0.5087374931316374,459.0
80,2.0,0.9,2.6,0.4,7.0,8.0,14.0,0.2052225862699336,3048.456271596608,4399.121909968484,13110.462887735424,0.1870967741935484,0.34,0.7290322580645161,2.884248927828894,0.5048802597838719,465.0
81,2.0,1.3,0.6,0.4,5.0,6.0,14.0,0.11219252241779816,3209.549000798199,4367.769674891746,11805.519592812052,0.3406813627254509,0.35,0.6132264529058116,2.546991421321822,0.5187662998358278,499.0
82,2.0,1.3,0.6,0.4,5.0,8.0,14.0,0.1202667642648244,3227.5554838599983,4379.744644387911,12151.700565131188,0.324,0.35,0.61,2.5378749877071898,0.5148999735099181,500.0
83,2.0,1.3,0.6,0.4,7.0,6.0,14.0,0.1494932072769075,3008.1711937720493,4261.952453517574,12237.048914702256,0.3103448275862069,0.35,0.6443965517241379,2.5940680536129364,0.5132960416335421,464.0
84,2.0,1.3,0.6,0.4,7.0,8.0,14.0,0.16384050958168675,2936.3935935347768,4382.726081624359,12173.59691680051,0.2835164835164835,0.35,0.6505494505494506,2.623732734022033,0.518947795280536,455.0
85,2.0,1.3,1.4,0.4,5.0,6.0,14.0,0.1584186310876494,3295.3532805457203,4574.516165470117,12484.280895118922,0.23471400394477318,0.35,0.6785009861932939,2.7182198292687034,0.5141376198185091,507.0
86,2.0,1.3,1.4,0.4,5.0,8.0,14.0,0.17427717150933783,3281.2725390636956,4325.722577432687,12774.705605046904,0.23203285420944558,0.35,0.6796714579055442,2.7093457619078665,0.514137619818509,487.0
87,2.0,1.3,1.4,0.4,7.0,6.0,14.0,0.1857419208375681,3064.9445956920836,4374.398894121547,12785.652252219747,0.2329059829059829,0.35,0.6944444444444444,2.697160426252001,0.5087374931316373,468.0
88,2.0,1.3,1.4,0.4,7.0,8.0,14.0,0.19241220089078853,3010.8184604502612,4261.393135454317,11925.539706197142,0.23799126637554585,0.35,0.6855895196506551,2.719477335373568,0.5141376198185091,458.0
89,2.0,1.3,2.2,0.4,5.0,6.0,14.0,0.1874445592703422,3323.129959586941,4383.465864270945,12852.665906874587,0.18725099601593626,0.34,0.7270916334661355,2.8421482776576017,0.5141376198185091,502.0
90,2.0,1.3,2.2,0.4,5.0,8.0,14.0,0.1920947043123462,3208.8277730953187,4486.811649352736,12611.298257382809,0.18309859154929578,0.34,0.7263581488933601,2.8504718068238315,0.5189218673598635,497.0
91,2.0,1.3,2.2,0.4,7.0,6.0,14.0,0.19620797821053132,3026.3542522280086,4361.200282740773,12519.127712136979,0.20815450643776823,0.34,0.7381974248927039,2.839266787045915,0.5023555252289706,466.0
92,2.0,1.3,2.2,0.4,7.0,8.0,14.0,0.2048253864519872,3002.080581098101,4302.156095306698,12546.416475059663,0.2017353579175705,0.34,0.7136659436008677,2.8078239194325425,0.5143051540751629,461.0
93,2.0,1.3,2.6,0.4,5.0,6.0,14.0,0.18712016432271034,3280.713464964773,4459.452405892482,13048.483788959991,0.1857707509881423,0.34,0.7371541501976284,2.8236582027784527,0.5187662998358278,506.0
94,2.0,1.3,2.6,0.4,5.0,8.0,14.0,0.19778390496593173,3228.0681034609165,4345.669877008999,12992.769113406746,0.18404907975460122,0.34,0.7382413087934561,2.8734900644968415,0.5141376198185091,489.0
